model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr_weighted,best_cv_f1_macro,best_params
svm,0.9656488549618321,0.9492386114337333,0.9367161716171616,0.9492386114337333,0.9419229592528694,0.9659852665565607,0.979595068790444,0.9550197674714063,"{'model__C': 1, 'model__kernel': 'linear'}"
random_forest,0.9274809160305344,0.8378242353852109,0.8941176470588236,0.8378242353852109,0.8629203247385391,0.9260150397366945,0.9832118615141546,0.9038223519087036,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 16}"
